STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
23,421,Gwalior,3399,Gwalior (Gird),453971,Supat,"Supat,Gwalior (Gird),Gwalior,Madhya Pradesh,India"
23,425,Chhatarpur,3430,Rajnagar,457984,Pipat,"Pipat,Rajnagar,Chhatarpur,Madhya Pradesh,India"
23,425,Chhatarpur,3433,Bijawar,458286,Pipat,"Pipat,Bijawar,Chhatarpur,Madhya Pradesh,India"
23,427,Sagar,3444,Khurai,459891,Ganpat,"Ganpat,Khurai,Sagar,Madhya Pradesh,India"
23,427,Sagar,3449,Sagar,460667,Sapat,"Sapat,Sagar,Sagar,Madhya Pradesh,India"
23,427,Sagar,3449,Sagar,460945,Berkheri Champat,"Berkheri Champat,Sagar,Sagar,Madhya Pradesh,India"
23,427,Sagar,3453,Deori,461523,Sarra Dalpat,"Sarra Dalpat,Deori,Sagar,Madhya Pradesh,India"
23,428,Damoh,3454,Hatta,461716,Himmat Pati Champat,"Himmat Pati Champat,Hatta,Damoh,Madhya Pradesh,India"
23,428,Damoh,3454,Hatta,461774,Harduwani Kamlapat,"Harduwani Kamlapat,Hatta,Damoh,Madhya Pradesh,India"
23,428,Damoh,3457,Patharia,462231,Pipariya Champat,"Pipariya Champat,Patharia,Damoh,Madhya Pradesh,India"
23,433,Mandsaur,3496,Mandsaur,469606,Luharishripat,"Luharishripat,Mandsaur,Mandsaur,Madhya Pradesh,India"
23,433,Mandsaur,3499,Suwasara,469910,Dhalpat,"Dhalpat,Suwasara,Mandsaur,Madhya Pradesh,India"
23,435,Ujjain,3510,Mahidpur,471403,Lasudiyashripat,"Lasudiyashripat,Mahidpur,Ujjain,Madhya Pradesh,India"
23,437,Dewas,3528,Satwas,473840,Panpat,"Panpat,Satwas,Dewas,Madhya Pradesh,India"
23,438,Dhar,3533,Sardarpur,474706,Kumarpat,"Kumarpat,Sardarpur,Dhar,Madhya Pradesh,India"
23,438,Dhar,3534,Dhar,474830,Sitapat,"Sitapat,Dhar,Dhar,Madhya Pradesh,India"
23,439,Indore,3544,Mhow ,476417,Sitapat,"Sitapat,Mhow,Indore,Madhya Pradesh,India"
23,440,Khargone (West Nimar),3545,Barwaha,476620,Sapat,"Sapat,Barwaha,Khargone (West Nimar),Madhya Pradesh,India"
23,441,Barwani ,3561,Sendhwa,478612,Kalapat,"Kalapat,Sendhwa,Barwani,Madhya Pradesh,India"
23,442,Rajgarh,3565,Rajgarh,479292,Gangapat,"Gangapat,Rajgarh,Rajgarh,Madhya Pradesh,India"
23,445,Sehore,3586,Ichhawar,483312,Balupat,"Balupat,Ichhawar,Sehore,Madhya Pradesh,India"
23,445,Sehore,3586,Ichhawar,483318,Magarpat,"Magarpat,Ichhawar,Sehore,Madhya Pradesh,India"
23,446,Raisen,3592,Begamganj,484136,Mudiyachampat,"Mudiyachampat,Begamganj,Raisen,Madhya Pradesh,India"
23,447,Betul,3598,Bhainsdehi,485278,Siwanpat,"Siwanpat,Bhainsdehi,Betul,Madhya Pradesh,India"
23,447,Betul,3599,Athner,485466,Siwanpat,"Siwanpat,Athner,Betul,Madhya Pradesh,India"
23,447,Betul,3602,Ghoda Dongri,485836,Siwanpat,"Siwanpat,Ghoda Dongri,Betul,Madhya Pradesh,India"
23,448,Harda ,3606,Khirkiya,486538,Pahanpat,"Pahanpat,Khirkiya,Harda,Madhya Pradesh,India"
23,448,Harda ,3607,Sirali,486685,Ghodapat,"Ghodapat,Sirali,Harda,Madhya Pradesh,India"
23,449,Hoshangabad,3612,Seoni-Malwa,487252,Malapat,"Malapat,Seoni-Malwa,Hoshangabad,Madhya Pradesh,India"
23,455,Chhindwara,3649,Harrai,494066,Jhapat,"Jhapat,Harrai,Chhindwara,Madhya Pradesh,India"
23,455,Chhindwara,3650,Chaurai,494346,Tighra Champat,"Tighra Champat,Chaurai,Chhindwara,Madhya Pradesh,India"
23,456,Seoni,3666,Kurai,497230,Bakrampat,"Bakrampat,Kurai,Seoni,Madhya Pradesh,India"
23,466,Khandwa (East Nimar),3715,Khalwa,505594,Ambapat,"Ambapat,Khalwa,Khandwa (East Nimar),Madhya Pradesh,India"
23,466,Khandwa (East Nimar),3716,Khandwa,505869,Ambapat,"Ambapat,Khandwa,Khandwa (East Nimar),Madhya Pradesh,India"
23,466,Khandwa (East Nimar),3716,Khandwa,505883,Kalpat,"Kalpat,Khandwa,Khandwa (East Nimar),Madhya Pradesh,India"
23,467,Burhanpur,3720,Khaknar,506327,Balapat,"Balapat,Khaknar,Burhanpur,Madhya Pradesh,India"
